global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
8740,8740,34960,50,72,288,653.0,0.0,653.0,722,722,379.5,15,0,1000000,3000,4
9076,9076,36304,51,336,1344,1012.0,0.0,1012.0,1136,1136,677.5446428571429,23,0,1000000,3000,4
9191,9191,36764,52,115,460,717.0,0.0,717.0,797,797,489.3478260869565,16,0,1000000,3000,4
9366,9366,37464,53,175,700,740.0,0.0,740.0,831,831,561.9257142857143,17,0,1000000,3000,4
9398,9398,37592,54,32,128,245.0,0.0,245.0,308,308,161.09375,7,0,1000000,3000,4
9591,9591,38364,55,193,772,805.0,0.0,805.0,898,899,581.8756476683938,18,0,1000000,3000,4
9848,9848,39392,56,257,1028,1316.0,0.0,1316.0,1425,1425,730.715953307393,29,0,1000000,3000,4
10030,10030,40120,57,182,728,1331.0,0.0,1331.0,1425,1425,686.2692307692307,29,0,1000000,3000,4
10072,10072,40288,58,42,168,235.0,0.0,235.0,300,300,150.04761904761904,7,0,1000000,3000,4
10453,10453,41812,59,381,1524,1109.0,0.0,1109.0,1242,1242,678.1417322834645,25,0,1000000,3000,4
10490,10490,41960,60,37,148,226.0,0.0,226.0,290,290,171.78378378378378,6,0,1000000,3000,4
10524,10524,42096,61,34,136,237.0,0.0,237.0,300,300,160.97058823529412,7,0,1000000,3000,4
10813,10813,43252,62,289,1156,1020.0,0.0,1020.0,1134,1134,641.4498269896194,23,0,1000000,3000,4
10916,10916,43664,63,103,412,614.0,0.0,614.0,692,692,385.84466019417476,14,0,1000000,3000,4
11027,11027,44108,64,111,444,588.0,0.0,588.0,667,667,397.7567567567568,14,0,1000000,3000,4
11081,11081,44324,65,54,216,223.0,0.0,223.0,290,290,137.2962962962963,6,0,1000000,3000,4
11114,11114,44456,66,33,132,248.0,0.0,248.0,312,312,155.3030303030303,7,0,1000000,3000,4
11220,11220,44880,67,106,424,588.0,0.0,588.0,665,665,401.45283018867923,14,0,1000000,3000,4
11308,11308,45232,68,88,352,631.0,0.0,631.0,705,705,389.71590909090907,15,0,1000000,3000,4
11604,11604,46416,69,296,1184,1312.0,0.0,1312.0,1429,1429,762.9054054054054,29,0,1000000,3000,4
11742,11742,46968,70,138,552,640.0,0.0,640.0,722,722,532.3188405797101,15,0,1000000,3000,4
11780,11780,47120,71,38,152,237.0,0.0,237.0,301,301,159.44736842105263,7,0,1000000,3000,4
12013,12013,48052,72,233,932,1853.0,0.0,1853.0,1956,1956,945.5107296137339,40,0,1000000,3000,4
12365,12365,49460,73,352,1408,1152.0,0.0,1152.0,1280,1280,679.1903409090909,26,0,1000000,3000,4
12614,12614,50456,74,249,996,794.0,0.0,794.0,898,898,595.1967871485944,18,0,1000000,3000,4
