global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
1408,1408,5632,-0.008735686540603638,2.4037628173828125,1.916692852973938,0.001597023569047451,0.0,0.0001,11,14,16,26,21,27,13,0,0,0,0,0,0.2109375,1,0.03,4.332139828733261e-05,0.0055451389807785745
1536,1536,6144,0.00480380654335022,48.40248107910156,1.9274184703826904,0.0008373158052563667,0.0,0.0001,18,16,20,29,16,19,10,0,0,0,0,0,0.2265625,1,0.03,0.0015284344906376646,0.19563961480162106
1664,1664,6656,-0.0031100623309612274,37.51521301269531,1.927948236465454,0.0001421784982085228,0.0,0.0001,17,11,18,18,22,23,19,0,0,0,0,0,0.1796875,1,0.03,0.0007540950794577839,0.09652417017059634
1792,1792,7168,-0.0044052377343177795,12.192082405090332,1.9251177310943604,0.0001957584172487259,0.0,0.0001,16,11,24,18,18,26,15,0,0,0,0,0,0.203125,1,0.03,0.0002012366976202884,0.025758297295396915
1920,1920,7680,-0.0017056800425052643,9.686664581298828,1.9238417148590088,0.000536714680492878,0.0,0.0001,7,21,24,25,23,20,8,0,0,0,0,0,0.1953125,1,0.03,0.0001236814214706783,0.01583122194824682
2048,2048,8192,5.982816219329834e-06,52.72235870361328,1.919690728187561,0.0007629534229636192,0.0,0.0001,11,18,13,14,26,28,18,0,0,0,0,0,0.21875,1,0.03,0.001099814040031788,0.14077619712406886
2176,2176,8704,-0.00010932609438896179,36.226524353027344,1.9077951908111572,0.0010595349594950676,0.0,0.0001,11,20,17,14,20,34,12,0,0,0,0,0,0.265625,1,0.03,0.0005694161116025498,0.07288526228512637
2304,2304,9216,0.0006085634231567383,35.335105895996094,1.880603313446045,0.0026430441066622734,0.015625,0.0001,13,17,17,19,18,36,8,0,0,0,0,0,0.28125,1,0.03,0.0012984434356440033,0.16620075976243243
2432,2432,9728,-0.0024236496537923813,34.175697326660156,1.8280117511749268,0.004068099893629551,0.12890625,0.0001,13,12,14,29,22,30,8,0,0,0,0,0,0.234375,1,0.03,0.001621011876125067,0.20748952014400857
2560,2560,10240,0.0025785043835639954,28.892078399658203,1.7800076007843018,0.001502208411693573,0.0,0.0001,9,18,8,24,23,42,4,0,0,0,0,0,0.328125,1,0.03,0.0001029369364005106,0.013175927859265357
2688,2688,10752,-0.0013249889016151428,13.808944702148438,1.7791130542755127,5.8338046073913574e-05,0.0,0.0001,13,15,9,17,25,47,2,0,0,0,0,0,0.3671875,1,0.03,0.00011896717580839322,0.015227798503474332
2816,2816,11264,0.005461782217025757,8.33656120300293,1.8113408088684082,0.001295185647904873,0.0,0.0001,10,11,6,25,19,50,7,0,0,0,0,0,0.390625,1,0.03,9.240234140861503e-05,0.011827499700302724
2944,2944,11776,-0.010206464678049088,4.966292381286621,1.8535048961639404,0.0024510594084858894,0.015625,0.0001,11,12,11,27,18,41,8,0,0,0,0,0,0.3203125,1,0.03,4.591645345897177e-05,0.005877306042748387
3072,3072,12288,-0.0031019672751426697,2.81308913230896,1.8892031908035278,0.0024714991450309753,0.01953125,0.0001,14,16,11,26,21,31,9,0,0,0,0,0,0.2421875,1,0.03,3.95838520006464e-05,0.0050667330560827395
