global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
6777,6777,27108,50,37,148,231.0,0.0,231.0,295,295,166.83783783783784,6,0,1000000,3000,4
6942,6942,27768,51,165,660,727.0,0.0,727.0,818,818,555.5878787878788,17,0,1000000,3000,4
7010,7010,28040,52,68,272,608.0,0.0,608.0,679,679,299.45588235294116,14,0,1000000,3000,4
7086,7086,28344,53,76,304,611.0,0.0,611.0,684,684,339.39473684210526,14,0,1000000,3000,4
7270,7270,29080,54,184,736,1036.0,0.0,1036.0,1128,1128,613.9565217391304,23,0,1000000,3000,4
7461,7461,29844,55,191,764,747.0,0.0,747.0,842,842,529.717277486911,17,0,1000000,3000,4
7498,7498,29992,56,37,148,247.0,0.0,247.0,312,312,141.2972972972973,7,0,1000000,3000,4
7538,7538,30152,57,40,160,242.0,0.0,242.0,307,307,140.825,7,0,1000000,3000,4
7613,7613,30452,58,75,300,607.0,0.0,607.0,679,679,308.85333333333335,14,0,1000000,3000,4
7665,7665,30660,59,52,208,223.0,0.0,223.0,291,291,131.8846153846154,6,0,1000000,3000,4
7790,7790,31160,60,125,500,627.0,0.0,627.0,708,708,339.12,15,0,1000000,3000,4
7898,7898,31592,61,108,432,607.0,0.0,607.0,684,684,385.69444444444446,14,0,1000000,3000,4
8058,8058,32232,62,160,640,741.0,0.0,741.0,829,829,513.5875,17,0,1000000,3000,4
8130,8130,32520,63,72,288,624.0,0.0,624.0,696,696,348.69444444444446,14,0,1000000,3000,4
8223,8223,32892,64,93,372,621.0,0.0,621.0,697,697,356.4731182795699,14,0,1000000,3000,4
8277,8277,33108,65,54,216,203.0,0.0,203.0,270,270,166.25925925925927,6,0,1000000,3000,4
8368,8368,33472,66,91,364,607.0,0.0,607.0,683,683,328.4175824175824,14,0,1000000,3000,4
8808,8808,35232,67,440,1760,1268.0,0.0,1268.0,1411,1411,736.7204545454546,29,0,1000000,3000,4
9001,9001,36004,68,193,772,1033.0,0.0,1033.0,1126,1126,610.9740932642487,23,0,1000000,3000,4
9083,9083,36332,69,82,328,635.0,0.0,635.0,707,707,386.5609756097561,15,0,1000000,3000,4
9308,9308,37232,70,225,900,1047.0,0.0,1047.0,1149,1149,584.52,23,0,1000000,3000,4
