global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
5632,5632,22528,-0.000771600753068924,23.28835105895996,1.9070206880569458,8.462276309728622e-05,0.0,0.0001,16,27,29,19,18,9,10,0,0,0,0,0,0.2265625,1,0.03,1.09157570769014e-05,0.0013972169058433792
5760,5760,23040,-0.006121257320046425,63.23967742919922,1.8973102569580078,0.0005931025370955467,0.0,0.0001,24,22,27,14,19,5,17,0,0,0,0,0,0.2109375,1,0.03,1.157675519536383e-05,0.0014818246650065703
5888,5888,23552,-0.0008354224264621735,16.45378303527832,1.8813014030456543,0.0009540189057588577,0.0,0.0001,25,19,28,20,23,8,5,0,0,0,0,0,0.21875,1,0.03,9.205971149839343e-06,0.0011783643071794359
6016,6016,24064,-0.003968536853790283,41.829063415527344,1.8607282638549805,0.0015956517308950424,0.0,0.0001,19,25,25,21,16,13,9,0,0,0,0,0,0.1953125,1,0.03,8.015834296770663e-06,0.0010260267899866449
6144,6144,24576,-0.0024149976670742035,14.02062702178955,1.8330870866775513,0.0014882925897836685,0.0,0.0001,17,24,42,13,19,7,6,0,0,0,0,0,0.328125,1,0.03,6.933738529113498e-06,0.0008875185317265277
6272,6272,25088,0.001085914671421051,6.6456451416015625,1.8236027956008911,0.0003352286294102669,0.0,0.0001,17,23,33,18,20,8,9,0,0,0,0,0,0.2578125,1,0.03,1.073454401989693e-05,0.001374021634546807
6400,6400,25600,-0.001886976882815361,70.34135437011719,1.817319631576538,0.00015980564057826996,0.0,0.0001,14,21,37,22,17,9,8,0,0,0,0,0,0.2890625,1,0.03,1.20858019414527e-05,0.0015469826485059457
6528,6528,26112,-0.0008978806436061859,54.16850280761719,1.7855234146118164,0.001167268492281437,0.0,0.0001,21,25,36,13,18,9,6,0,0,0,0,0,0.28125,1,0.03,1.2344038552214442e-05,0.0015800369346834486
6656,6656,26624,0.0030340589582920074,17.150699615478516,1.7341132164001465,0.0022890428081154823,0.01171875,0.0001,15,23,41,16,16,8,9,0,0,0,0,0,0.3203125,1,0.03,1.3462525060958797e-05,0.001723203207802726
6784,6784,27136,-0.0030089542269706726,47.93536376953125,1.6669909954071045,0.0032728146761655807,0.03125,0.0001,14,24,47,10,20,8,5,0,0,0,0,0,0.3671875,1,0.03,1.0318500983430567e-05,0.0013207681258791126
6912,6912,27648,0.01416216790676117,33.573219299316406,1.5449610948562622,0.008051067590713501,0.23046875,0.0001,10,18,59,16,15,5,5,0,0,0,0,0,0.4609375,1,0.03,9.882580041420397e-06,0.0012649702453018108
7040,7040,28160,0.027428627014160156,12.933788299560547,1.3590357303619385,0.011939522810280323,0.265625,0.0001,15,28,60,6,9,6,4,0,0,0,0,0,0.46875,1,0.03,1.3398221440752422e-05,0.00171497234441631
7168,7168,28672,-0.0035526100546121597,16.743366241455078,1.3189232349395752,0.0006153453141450882,0.00390625,0.0001,10,21,71,12,8,5,1,0,0,0,0,0,0.5546875,1,0.03,1.7537279838109043e-05,0.0022447718192779575
7296,7296,29184,0.0010172128677368164,51.064029693603516,1.2921652793884277,0.0007156739011406898,0.0,0.0001,9,23,72,10,8,4,2,0,0,0,0,0,0.5625,1,0.03,1.751441603659032e-05,0.002241845252683561
7424,7424,29696,0.005141369998455048,20.42942237854004,1.1706569194793701,0.005919702351093292,0.0703125,0.0001,10,18,76,9,10,3,2,0,0,0,0,0,0.59375,1,0.03,1.2438453104834934e-05,0.0015921219974188716
7552,7552,30208,0.0128006711602211,17.947580337524414,0.9741941690444946,0.011571249924600124,0.19140625,0.0001,14,18,85,5,3,3,0,0,0,0,0,0,0.6640625,1,0.03,8.52665626638327e-06,0.0010914120020970586
7680,7680,30720,0.009883448481559753,22.439163208007812,0.8030428886413574,0.006119326688349247,0.1015625,0.0001,6,12,99,2,6,3,0,0,0,0,0,0,0.7734375,1,0.03,8.21604372447382e-06,0.001051653596732649
7808,7808,31232,0.022010432556271553,15.914610862731934,0.5720874071121216,0.010495702736079693,0.07421875,0.0001,3,10,111,1,3,0,0,0,0,0,0,0,0.8671875,1,0.03,8.867835418868708e-06,0.0011350829336151946
7936,7936,31744,0.03364899754524231,4.542842864990234,0.3377847969532013,0.018088076263666153,0.08203125,0.0001,7,7,111,1,1,1,0,0,0,0,0,0,0.8671875,1,0.03,1.073735177214985e-05,0.0013743810268351808
8064,8064,32256,-0.002160370349884033,39.04331588745117,0.22334720194339752,0.0028476957231760025,0.0390625,0.0001,0,3,122,1,2,0,0,0,0,0,0,0,0.953125,1,0.03,3.90326289156917e-06,0.0004996176501208538
8192,8192,32768,-0.0033365413546562195,3.970458745956421,0.1808023750782013,0.0012876559048891068,0.015625,0.0001,0,2,124,2,0,0,0,0,0,0,0,0,0.96875,1,0.03,2.2961211287864103e-06,0.0002939035044846605
8320,8320,33280,0.0018342062830924988,7.180400371551514,0.11879713833332062,0.0007034549489617348,0.01953125,0.0001,1,2,124,0,1,0,0,0,0,0,0,0,0.96875,1,0.03,2.2936896009184693e-06,0.00029359226891756407
8448,8448,33792,0.0003880932927131653,23.564517974853516,0.12060198187828064,5.505979061126709e-05,0.0,0.0001,0,2,126,0,0,0,0,0,0,0,0,0,0.984375,1,0.03,2.2289153296384256e-06,0.0002853011621937185
8576,8576,34304,-0.0029980093240737915,9.140426635742188,0.17234237492084503,0.004045046865940094,0.01953125,0.0001,1,1,124,1,1,0,0,0,0,0,0,0,0.96875,1,0.03,1.7801241609660678e-06,0.00022785589260365668
8704,8704,34816,0.0028387419879436493,32.328948974609375,0.2351500242948532,0.0016981111839413643,0.01953125,0.0001,0,2,125,0,0,1,0,0,0,0,0,0,0.9765625,1,0.03,1.8709993026000404e-06,0.00023948791073280518
8832,8832,35328,-0.0020965784788131714,17.850601196289062,0.27469220757484436,0.0012838132679462433,0.01953125,0.0001,0,7,121,0,0,0,0,0,0,0,0,0,0.9453125,1,0.03,1.7605044799751113e-06,0.00022534457343681424
8960,8960,35840,-0.0013723038136959076,25.602191925048828,0.32418179512023926,0.0004389062523841858,0.015625,0.0001,0,9,119,0,0,0,0,0,0,0,0,0,0.9296875,1,0.03,2.286650933491785e-06,0.0002926913194869485
9088,9088,36352,-0.0004968326538801193,8.581954956054688,0.34443607926368713,0.0008693747222423553,0.0078125,0.0001,0,7,121,0,0,0,0,0,0,0,0,0,0.9453125,1,0.03,3.3359032789448406e-06,0.0004269956197049396
9216,9216,36864,0.0058246999979019165,6.397181987762451,0.43287575244903564,0.005856247618794441,0.09375,0.0001,1,16,110,0,1,0,0,0,0,0,0,0,0.859375,1,0.03,3.2395020488351634e-06,0.0004146562622509009
9344,9344,37376,0.003463178873062134,11.075542449951172,0.46212559938430786,0.0016963081434369087,0.0546875,0.0001,0,10,115,0,2,1,0,0,0,0,0,0,0.8984375,1,0.03,3.236278723228736e-06,0.0004142436765732782
