global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
11858,11858,47432,51,41,164,245.0,0.0,245.0,311,311,138.8780487804878,7,0,50000,3000,4
12052,12052,48208,52,194,776,629.0,0.0,629.0,722,722,455.0670103092784,15,0,50000,3000,4
12241,12241,48964,53,189,756,750.0,0.0,750.0,845,845,529.8783068783068,17,0,50000,3000,4
12333,12333,49332,54,92,368,603.0,0.0,603.0,679,679,327.2173913043478,14,0,50000,3000,4
12618,12618,50472,55,285,1140,711.0,0.0,711.0,824,824,613.5017543859649,17,0,50000,3000,4
12959,12959,51836,56,341,1364,1652.0,0.0,1652.0,1778,1778,924.7155425219942,36,0,50000,3000,4
12988,12988,51952,57,29,116,252.0,0.0,252.0,315,315,155.86206896551724,7,0,50000,3000,4
13215,13215,52860,58,227,908,1690.0,0.0,1690.0,1793,1793,888.5286343612335,36,0,50000,3000,4
13246,13246,52984,59,31,124,248.0,0.0,248.0,310,310,152.5483870967742,7,0,50000,3000,4
13334,13334,53336,60,88,352,607.0,0.0,607.0,681,681,413.6363636363636,14,0,50000,3000,4
13440,13440,53760,61,106,424,606.0,0.0,606.0,684,684,382.39622641509436,14,0,50000,3000,4
13473,13473,53892,62,33,132,248.0,0.0,248.0,310,310,159.27272727272728,7,0,50000,3000,4
13628,13628,54512,63,155,620,812.0,0.0,812.0,898,900,554.2709677419355,19,0,50000,3000,4
13758,13758,55032,64,130,520,1045.0,0.0,1045.0,1126,1126,593.0230769230769,23,0,50000,3000,4
13885,13885,55540,65,127,508,733.0,0.0,733.0,815,815,493.7716535433071,17,0,50000,3000,4
13915,13915,55660,66,30,120,248.0,0.0,248.0,311,311,158.16666666666666,7,0,50000,3000,4
13995,13995,55980,67,80,320,612.0,0.0,612.0,686,686,350.5,14,0,50000,3000,4
14144,14144,56576,68,149,596,1040.0,0.0,1040.0,1124,1124,600.8053691275168,23,0,50000,3000,4
14252,14252,57008,69,108,432,616.0,0.0,616.0,694,694,387.18518518518516,14,0,50000,3000,4
14283,14283,57132,70,31,124,250.0,0.0,250.0,314,314,157.0,7,0,50000,3000,4
14375,14375,57500,71,92,368,623.0,0.0,623.0,699,699,393.32608695652175,14,0,50000,3000,4
14539,14539,58156,72,164,656,752.0,0.0,752.0,840,840,526.2256097560976,17,0,50000,3000,4
14731,14731,58924,73,192,768,1335.0,0.0,1335.0,1431,1431,696.515625,29,0,50000,3000,4
14824,14824,59296,74,93,372,611.0,0.0,611.0,686,686,408.258064516129,14,0,50000,3000,4
14858,14858,59432,75,34,136,244.0,0.0,244.0,307,307,161.97058823529412,7,0,50000,3000,4
14929,14929,59716,76,71,284,605.0,0.0,605.0,677,677,314.76056338028167,14,0,50000,3000,4
15003,15003,60012,77,74,296,625.0,0.0,625.0,697,697,353.35135135135135,14,0,50000,3000,4
15103,15103,60412,78,100,400,601.0,0.0,601.0,678,678,406.21,14,0,50000,3000,4
15352,15352,61408,79,249,996,1679.0,0.0,1679.0,1784,1784,858.3253012048193,36,0,50000,3000,4
