global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
10619,10619,42476,48,62,248,221.0,0.0,221.0,289,289,129.59677419354838,0,6,0,1000000,3000,4
10804,10804,43216,49,185,740,776.0,0.0,776.0,869,869,517.9675675675676,0,18,0,1000000,3000,4
10850,10850,43400,50,46,184,225.0,0.0,225.0,290,290,152.97826086956522,0,6,0,1000000,3000,4
10895,10895,43580,51,45,180,228.0,0.0,228.0,293,293,149.0,0,6,0,1000000,3000,4
10946,10946,43784,52,51,204,225.0,0.0,225.0,292,292,143.7450980392157,0,6,0,1000000,3000,4
11206,11206,44824,53,260,1040,1305.0,0.0,1305.0,1411,1411,697.276923076923,0,29,0,1000000,3000,4
11400,11400,45600,54,194,776,629.0,0.0,629.0,722,722,439.36082474226805,0,15,0,1000000,3000,4
11826,11826,47304,55,426,1704,998.0,0.0,998.0,1140,1140,704.2089201877934,0,23,0,1000000,3000,4
11932,11932,47728,56,106,424,619.0,0.0,619.0,698,698,367.97169811320754,0,14,0,1000000,3000,4
11979,11979,47916,57,47,188,231.0,0.0,231.0,297,297,145.53191489361703,0,6,0,1000000,3000,4
12138,12138,48552,58,159,636,636.0,0.0,636.0,722,722,493.55974842767296,0,15,0,1000000,3000,4
12182,12182,48728,59,44,176,229.0,0.0,229.0,294,294,161.52272727272728,0,6,0,1000000,3000,4
12544,12544,50176,60,362,1448,667.0,0.0,667.0,796,796,604.5027624309392,0,16,0,1000000,3000,4
12766,12766,51064,61,222,888,690.0,0.0,690.0,791,791,554.2882882882883,0,16,0,1000000,3000,4
12879,12879,51516,62,113,452,625.0,0.0,625.0,704,704,347.8141592920354,0,15,0,1000000,3000,4
12917,12917,51668,63,38,152,234.0,0.0,234.0,298,298,159.71052631578948,0,6,0,1000000,3000,4
13237,13237,52948,64,320,1280,1283.0,0.0,1283.0,1403,1403,722.2,0,29,0,1000000,3000,4
13585,13585,54340,65,348,1392,1003.0,0.0,1003.0,1128,1128,582.3706896551724,0,23,0,1000000,3000,4
13649,13649,54596,66,64,256,211.0,0.0,211.0,280,280,125.984375,0,6,0,1000000,3000,4
13684,13684,54736,67,35,140,250.0,0.0,250.0,315,315,147.88571428571427,0,7,0,1000000,3000,4
13899,13899,55596,68,215,860,720.0,0.0,720.0,820,820,537.2046511627907,0,17,0,1000000,3000,4
14003,14003,56012,69,104,416,606.0,0.0,606.0,683,683,405.2980769230769,0,14,0,1000000,3000,4
14156,14156,56624,70,153,612,602.0,0.0,602.0,690,690,440.47058823529414,0,14,0,1000000,3000,4
14301,14301,57204,71,145,580,584.0,0.0,584.0,670,670,432.3862068965517,0,14,0,1000000,3000,4
14399,14399,57596,72,98,392,621.0,0.0,621.0,698,698,330.46938775510205,0,14,0,1000000,3000,4
14682,14682,58728,73,283,1132,1322.0,0.0,1322.0,1436,1436,687.4487632508834,0,29,0,1000000,3000,4
14897,14897,59588,74,215,860,1694.0,0.0,1694.0,1794,1794,877.9674418604651,0,36,0,1000000,3000,4
14976,14976,59904,75,79,316,606.0,0.0,606.0,679,679,315.0379746835443,0,14,0,1000000,3000,4
15113,15113,60452,76,137,548,816.0,0.0,816.0,898,898,580.0656934306569,0,18,0,1000000,3000,4
15145,15145,60580,77,32,128,248.0,0.0,248.0,311,311,154.71875,0,7,0,1000000,3000,4
15192,15192,60768,78,47,188,226.0,0.0,226.0,291,291,151.04255319148936,0,6,0,1000000,3000,4
15222,15222,60888,79,30,120,248.0,0.0,248.0,312,312,151.9,0,7,0,1000000,3000,4
15337,15337,61348,80,115,460,598.0,0.0,598.0,679,679,367.9826086956522,0,14,0,1000000,3000,4
15369,15369,61476,81,32,128,249.0,0.0,249.0,312,312,145.65625,0,7,0,1000000,3000,4
15405,15405,61620,82,36,144,244.0,0.0,244.0,309,309,144.13888888888889,0,7,0,1000000,3000,4
15443,15443,61772,83,38,152,244.0,0.0,244.0,309,309,144.73684210526315,0,7,0,1000000,3000,4
15585,15585,62340,84,142,568,762.0,0.0,762.0,847,847,479.61267605633805,0,17,0,1000000,3000,4
15621,15621,62484,85,36,144,245.0,0.0,245.0,309,309,156.38888888888889,0,7,0,1000000,3000,4
15721,15721,62884,86,100,400,628.0,0.0,628.0,705,705,368.35,0,15,0,1000000,3000,4
15826,15826,63304,87,105,420,613.0,0.0,613.0,692,692,362.67619047619047,0,14,0,1000000,3000,4
15935,15935,63740,88,109,436,613.0,0.0,613.0,692,692,387.8348623853211,0,14,0,1000000,3000,4
16206,16206,64824,89,271,1084,1311.0,0.0,1311.0,1423,1423,691.5977859778598,0,29,0,1000000,3000,4
16322,16322,65288,90,116,464,608.0,0.0,608.0,688,688,387.8189655172414,0,14,0,1000000,3000,4
16401,16401,65604,91,79,316,616.0,0.0,616.0,689,689,324.63291139240505,0,14,0,1000000,3000,4
16570,16570,66280,92,169,676,758.0,0.0,758.0,849,849,539.4378698224853,0,17,0,1000000,3000,4
16734,16734,66936,93,164,656,1037.0,0.0,1037.0,1124,1124,564.5670731707318,0,23,0,1000000,3000,4
16907,16907,67628,94,173,692,1037.0,0.0,1037.0,1127,1127,660.1965317919075,0,23,0,1000000,3000,4
16996,16996,67984,95,89,356,635.0,0.0,635.0,710,710,377.8988764044944,0,15,0,1000000,3000,4
17087,17087,68348,96,91,364,634.0,0.0,634.0,709,709,362.85714285714283,0,15,0,1000000,3000,4
17275,17275,69100,97,188,752,1035.0,0.0,1035.0,1128,1128,558.1382978723404,0,23,0,1000000,3000,4
17310,17310,69240,98,35,140,239.0,0.0,239.0,304,304,161.37142857142857,0,7,0,1000000,3000,4
17410,17410,69640,99,100,400,618.0,0.0,618.0,694,694,348.41,0,14,0,1000000,3000,4
17460,17460,69840,100,50,200,228.0,0.0,228.0,295,295,142.68,0,6,0,1000000,3000,4
17497,17497,69988,101,37,148,245.0,0.0,245.0,310,310,145.83783783783784,0,7,0,1000000,3000,4
17573,17573,70292,102,76,304,609.0,0.0,609.0,681,681,317.36842105263156,0,14,0,1000000,3000,4
17705,17705,70820,103,132,528,1044.0,0.0,1044.0,1126,1126,547.1212121212121,0,23,0,1000000,3000,4
17924,17924,71696,104,219,876,1028.0,0.0,1028.0,1127,1127,624.283105022831,0,23,0,1000000,3000,4
18052,18052,72208,105,128,512,720.0,0.0,720.0,801,801,454.5234375,0,17,0,1000000,3000,4
18093,18093,72372,106,41,164,232.0,0.0,232.0,297,297,150.21951219512195,0,6,0,1000000,3000,4
18142,18142,72568,107,49,196,216.0,0.0,216.0,282,282,159.9795918367347,0,6,0,1000000,3000,4
18257,18257,73028,108,115,460,606.0,0.0,606.0,686,686,346.7217391304348,0,14,0,1000000,3000,4
18375,18375,73500,109,118,472,589.0,0.0,589.0,669,669,420.7542372881356,0,14,0,1000000,3000,4
18535,18535,74140,110,160,640,738.0,0.0,738.0,826,826,439.18125,0,17,0,1000000,3000,4
18585,18585,74340,111,50,200,227.0,0.0,227.0,293,293,141.02,0,6,0,1000000,3000,4
18790,18790,75160,112,205,820,1041.0,0.0,1041.0,1138,1138,579.1219512195122,0,23,0,1000000,3000,4
18838,18838,75352,113,48,192,229.0,0.0,229.0,295,295,146.79166666666666,0,6,0,1000000,3000,4
19051,19051,76204,114,213,852,1039.0,0.0,1039.0,1138,1138,644.3192488262911,0,23,0,1000000,3000,4
19265,19265,77060,115,214,856,1026.0,0.0,1026.0,1123,1123,568.7616822429907,0,23,0,1000000,3000,4
19383,19383,77532,116,118,472,616.0,0.0,616.0,695,695,378.135593220339,0,14,0,1000000,3000,4
19496,19496,77984,117,113,452,602.0,0.0,602.0,682,682,376.0,0,14,0,1000000,3000,4
19535,19535,78140,118,39,156,230.0,0.0,230.0,294,294,163.30769230769232,0,6,0,1000000,3000,4
19580,19580,78320,119,45,180,217.0,0.0,217.0,282,282,171.75555555555556,0,6,0,1000000,3000,4
20068,20068,80272,120,488,1952,2595.0,0.0,2595.0,2749,2749,1304.049180327869,0,55,0,1000000,3000,4
20122,20122,80488,121,54,216,195.0,0.0,195.0,262,262,177.16666666666666,0,6,0,1000000,3000,4
20216,20216,80864,122,94,376,615.0,0.0,615.0,690,690,336.1170212765957,0,14,0,1000000,3000,4
20422,20422,81688,123,206,824,1039.0,0.0,1039.0,1137,1137,549.0728155339806,0,23,0,1000000,3000,4
20529,20529,82116,124,107,428,617.0,0.0,617.0,696,696,400.78504672897196,0,14,0,1000000,3000,4
