global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
2432,2432,9728,-0.0011252537369728088,4.025306701660156,1.9457597732543945,3.087148070335388e-05,0.0,0.0001,8,27,25,22,20,14,12,0,0,0,0,0,0.2109375,1,0.03,2.6635055735404686e-09,3.4092871341318e-07
2560,2560,10240,0.0006518438458442688,11.360174179077148,1.9454236030578613,4.177447408437729e-05,0.0,0.0001,20,17,16,10,21,22,22,0,0,0,0,0,0.171875,1,0.03,1.453911490894048e-06,0.00018610067083443815
2688,2688,10752,-0.0009956508874893188,85.58259582519531,1.94534170627594,6.269663572311401e-06,0.0,0.0001,18,20,17,17,21,17,18,0,0,0,0,0,0.1640625,1,0.03,3.4314020588616014e-06,0.000439219463534285
2816,2816,11264,-2.5898218154907227e-05,68.11188507080078,1.9454543590545654,1.2532807886600494e-05,0.0,0.0001,13,21,22,23,14,13,22,0,0,0,0,0,0.1796875,1,0.03,4.015820933484394e-06,0.0005140250794860024
2944,2944,11776,-0.0016837399452924728,83.87018585205078,1.9456069469451904,1.836474984884262e-05,0.0,0.0001,17,14,19,12,24,23,19,0,0,0,0,0,0.1875,1,0.03,3.089196927543239e-06,0.0003954172067255346
3072,3072,12288,-0.0021209195256233215,29.483299255371094,1.9456067085266113,5.788169801235199e-05,0.0,0.0001,17,16,27,23,18,16,11,0,0,0,0,0,0.2109375,1,0.03,2.0365602328208197e-06,0.0002606797098010649
3200,3200,12800,-0.001550871878862381,6.655976295471191,1.9453318119049072,6.059091538190842e-05,0.0,0.0001,15,18,14,23,19,24,15,0,0,0,0,0,0.1875,1,0.03,2.9079856608826837e-07,3.722221645929835e-05
3328,3328,13312,-0.0006028488278388977,49.615631103515625,1.944928526878357,4.214141517877579e-05,0.0,0.0001,17,22,18,18,17,20,16,0,0,0,0,0,0.171875,1,0.03,3.0825822248461976e-06,0.0003945705247803133
3456,3456,13824,-0.0021342411637306213,28.643531799316406,1.9439318180084229,0.00013540871441364288,0.0,0.0001,16,16,18,24,19,21,14,0,0,0,0,0,0.1875,1,0.03,3.2071283607715273e-06,0.0004105124301787555
3584,3584,14336,0.00015544146299362183,6.626501560211182,1.9423946142196655,9.800959378480911e-05,0.0,0.0001,13,32,13,16,16,19,19,0,0,0,0,0,0.25,1,0.03,1.8919474975803534e-07,2.4216927969028523e-05
3712,3712,14848,0.00015425682067871094,39.406150817871094,1.9409679174423218,9.64626669883728e-05,0.0,0.0001,20,21,21,16,17,14,19,0,0,0,0,0,0.1640625,1,0.03,1.2429138165132763e-06,0.00015909296851369936
3840,3840,15360,-0.002422444522380829,42.35053634643555,1.9378681182861328,0.0002073589712381363,0.0,0.0001,19,22,23,12,17,21,14,0,0,0,0,0,0.1796875,1,0.03,2.841498094621059e-06,0.00036371175611149553
3968,3968,15872,-0.0035986527800559998,6.368597984313965,1.9341347217559814,0.00017376989126205444,0.0,0.0001,21,17,21,21,21,12,15,0,0,0,0,0,0.1640625,1,0.03,1.2997115227987577e-07,1.6636307491824098e-05
4096,4096,16384,-0.0007571987807750702,14.917364120483398,1.9340009689331055,2.2025778889656067e-05,0.0,0.0001,18,20,26,18,22,15,9,0,0,0,0,0,0.203125,1,0.03,7.32618584044914e-07,9.377517875774899e-05
4224,4224,16896,0.0006336495280265808,84.5318374633789,1.9343018531799316,3.671552985906601e-05,0.0,0.0001,23,23,21,20,16,15,10,0,0,0,0,0,0.1796875,1,0.03,4.2825126172468114e-06,0.0005481616150075919
4352,4352,17408,0.0007557421922683716,69.86614990234375,1.9311769008636475,0.00011514220386743546,0.0,0.0001,18,19,26,16,20,23,6,0,0,0,0,0,0.203125,1,0.03,3.832366716347013e-06,0.0004905429396924177
4480,4480,17920,-0.00022428203374147415,14.169355392456055,1.9275474548339844,0.00022877845913171768,0.0,0.0001,19,16,28,19,14,20,12,0,0,0,0,0,0.21875,1,0.03,3.5705003098092554e-06,0.0004570240396555847
4608,4608,18432,0.00039049237966537476,5.414115905761719,1.9281888008117676,6.826501339673996e-05,0.0,0.0001,16,28,22,14,18,13,17,0,0,0,0,0,0.21875,1,0.03,1.4525833923499307e-07,1.8593067422079113e-05
4736,4736,18944,-0.0005855150520801544,45.59423065185547,1.9286668300628662,1.9541941583156586e-05,0.0,0.0001,20,16,23,18,24,13,14,0,0,0,0,0,0.1875,1,0.03,4.146188818458709e-06,0.0005307121687627148
4864,4864,19456,-0.0015940479934215546,10.223072052001953,1.9292349815368652,9.981449693441391e-05,0.0,0.0001,21,20,23,18,23,14,9,0,0,0,0,0,0.1796875,1,0.03,1.4781294279116002e-06,0.00018920056677268482
4992,4992,19968,3.271922469139099e-05,35.601768493652344,1.9295799732208252,0.00026217754930257797,0.0,0.0001,18,19,25,17,20,14,15,0,0,0,0,0,0.1953125,1,0.03,2.5149575381896994e-06,0.0003219145648882815
5120,5120,20480,-0.0046923235058784485,54.93290328979492,1.9237439632415771,0.00042093824595212936,0.0,0.0001,18,16,23,16,17,22,16,0,0,0,0,0,0.1796875,1,0.03,2.994574252693119e-06,0.0003833055043447192
5248,5248,20992,-0.00041181594133377075,61.135990142822266,1.9118443727493286,0.0009677140042185783,0.0,0.0001,19,16,39,18,12,15,9,0,0,0,0,0,0.3046875,1,0.03,3.2443615640459673e-06,0.0004152782801978838
5376,5376,21504,-0.003239840269088745,15.013071060180664,1.8990557193756104,0.0006966283544898033,0.0,0.0001,28,17,28,9,22,18,6,0,0,0,0,0,0.21875,1,0.03,9.608507736955161e-07,0.00012298889903302607
5504,5504,22016,-0.004429325461387634,27.98675537109375,1.890981674194336,0.0006652157753705978,0.0,0.0001,18,14,30,15,17,22,12,0,0,0,0,0,0.234375,1,0.03,1.1011130192023835e-06,0.0001409424664579051
5632,5632,22528,0.004606297239661217,51.813148498535156,1.8711578845977783,0.001294415444135666,0.01171875,0.0001,15,17,40,22,13,14,7,0,0,0,0,0,0.3125,1,0.03,5.2291736499670595e-06,0.0006693342271957836
5760,5760,23040,0.006907731294631958,10.569587707519531,1.852203607559204,0.0013223141431808472,0.02734375,0.0001,20,13,31,21,16,13,14,0,0,0,0,0,0.2421875,1,0.03,2.65859619587739e-06,0.0003403003130723059
5888,5888,23552,0.0010294001549482346,23.890419006347656,1.828210711479187,0.001097111962735653,0.00390625,0.0001,20,14,33,22,24,14,1,0,0,0,0,0,0.2578125,1,0.03,1.5174992842711867e-06,0.0001942399083867119
6016,6016,24064,-0.0010159993544220924,47.40056610107422,1.7885184288024902,0.0022561494261026382,0.015625,0.0001,18,15,36,18,16,21,4,0,0,0,0,0,0.28125,1,0.03,5.7849755344386005e-06,0.0007404768684081409
6144,6144,24576,-0.0158137995749712,24.81764030456543,1.7254724502563477,0.0050737373530864716,0.046875,0.0001,15,17,44,13,22,13,4,0,0,0,0,0,0.34375,1,0.03,4.295766465135364e-06,0.0005498581075373266
6272,6272,25088,-0.00018590595573186874,14.297924041748047,1.623893141746521,0.008481940254569054,0.2421875,0.0001,19,15,46,11,18,16,3,0,0,0,0,0,0.359375,1,0.03,3.359030934119503e-06,0.0004299559595672964
6400,6400,25600,0.03462384641170502,13.844169616699219,1.4889318943023682,0.011341119185090065,0.21484375,0.0001,15,4,54,12,15,27,1,0,0,0,0,0,0.421875,1,0.03,8.330719660347777e-06,0.0010663321165245154
6528,6528,26112,-0.0035649538040161133,7.118056297302246,1.3209354877471924,0.011171320453286171,0.20703125,0.0001,12,5,64,5,17,25,0,0,0,0,0,0,0.5,1,0.03,1.73632925131173e-05,0.0022225014416790145
6656,6656,26624,-0.0022343769669532776,24.07778549194336,1.099999189376831,0.017699915915727615,0.34765625,0.0001,13,5,69,8,14,19,0,0,0,0,0,0,0.5390625,1,0.03,9.695971821108498e-06,0.0012410843931018878
6784,6784,27136,-0.0018780231475830078,4.573869705200195,0.9916359186172485,0.003970474004745483,0.0625,0.0001,8,1,83,4,16,16,0,0,0,0,0,0,0.6484375,1,0.03,1.3414172450664646e-05,0.0017170140736850747
6912,6912,27648,0.01352718286216259,4.2262163162231445,1.0300935506820679,0.0032735271379351616,0.0625,0.0001,3,0,101,4,12,8,0,0,0,0,0,0,0.7890625,1,0.03,8.139026239736835e-06,0.001041795358686315
7040,7040,28160,0.02667614445090294,12.632152557373047,1.1463267803192139,0.013211797922849655,0.26171875,0.0001,7,2,82,0,15,22,0,0,0,0,0,0,0.640625,1,0.03,1.2493082291729126e-05,0.0015991145333413281
7168,7168,28672,0.012522557750344276,1.6110475063323975,1.1922967433929443,0.006263062357902527,0.19140625,0.0001,8,0,76,3,24,17,0,0,0,0,0,0,0.59375,1,0.03,1.253506157457545e-05,0.0016044878815456576
