global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
3456,3456,13824,-0.001248769462108612,26.970760345458984,1.9441258907318115,0.0001245373860001564,0.0,0.0001,16,16,18,24,19,21,14,0,0,0,0,0,0.1875,1,0.03,4.671782484422238e-06,0.0005979881580060464
3584,3584,14336,-0.0003407057374715805,5.95029354095459,1.9427711963653564,8.574686944484711e-05,0.0,0.0001,13,32,13,16,16,19,19,0,0,0,0,0,0.25,1,0.03,4.293233535790364e-06,0.0005495338925811666
3712,3712,14848,-0.00047119706869125366,39.47294616699219,1.9414650201797485,8.814409375190735e-05,0.0,0.0001,20,21,21,16,17,14,19,0,0,0,0,0,0.1640625,1,0.03,4.396659882388576e-06,0.0005627724649457377
3840,3840,15360,-0.0010663941502571106,49.27186584472656,1.9386039972305298,0.00021481234580278397,0.0,0.0001,19,22,23,11,17,21,15,0,0,0,0,0,0.1796875,1,0.03,4.379846952673461e-06,0.000560620409942203
3968,3968,15872,-0.00029718875885009766,76.57047271728516,1.9326118230819702,0.0005037439987063408,0.0,0.0001,22,17,21,21,21,11,15,0,0,0,0,0,0.171875,1,0.03,4.491162442832319e-06,0.0005748687926825369
4096,4096,16384,0.004222556948661804,36.337066650390625,1.9214919805526733,0.0011026421561837196,0.0,0.0001,18,19,28,18,22,14,9,0,0,0,0,0,0.21875,1,0.03,4.343137627316196e-06,0.0005559216162964731
4224,4224,16896,-0.013203956186771393,14.445444107055664,1.8969969749450684,0.00355555210262537,0.1015625,0.0001,20,23,25,20,19,12,9,0,0,0,0,0,0.1953125,1,0.03,5.00518750712331e-06,0.0006406640009117837
4352,4352,17408,0.0043911561369895935,9.185253143310547,1.8836643695831299,0.000850762240588665,0.0,0.0001,16,26,30,14,19,18,5,0,0,0,0,0,0.234375,1,0.03,6.069681077747191e-06,0.0007769191779516404
4480,4480,17920,-0.004588093608617783,6.892500877380371,1.8878753185272217,0.00028017908334732056,0.0,0.0001,18,20,38,18,15,13,6,0,0,0,0,0,0.296875,1,0.03,1.1106951497197315e-05,0.0014216897916412563
4608,4608,18432,0.004934230819344521,4.962199687957764,1.9019639492034912,0.0006486736238002777,0.0,0.0001,17,29,26,14,18,10,14,0,0,0,0,0,0.2265625,1,0.03,1.481129220337607e-05,0.001895845402032137
4736,4736,18944,-0.0037552863359451294,46.12985610961914,1.909790277481079,0.00013576634228229523,0.0,0.0001,18,17,27,15,29,9,13,0,0,0,0,0,0.2265625,1,0.03,1.7435095209350493e-05,0.002231692186796863
4864,4864,19456,-0.0007327571511268616,70.37570190429688,1.9067013263702393,6.618071347475052e-05,0.0,0.0001,23,21,23,18,23,11,9,0,0,0,0,0,0.1796875,1,0.03,1.6500450158218882e-05,0.002112057620252017
4992,4992,19968,-0.004609681665897369,47.15766143798828,1.8947582244873047,0.0005668932572007179,0.0,0.0001,17,21,26,17,21,11,15,0,0,0,0,0,0.203125,1,0.03,1.2872892973803118e-05,0.0016477303006467992
5120,5120,20480,-0.001356273889541626,10.514945983886719,1.8831703662872314,0.00037392694503068924,0.0,0.0001,17,20,24,15,22,16,14,0,0,0,0,0,0.1875,1,0.03,1.0259013834001962e-05,0.0013131537707522511
5248,5248,20992,-0.0014407876878976822,8.71998405456543,1.8890023231506348,0.0002678288146853447,0.0,0.0001,19,23,39,16,14,8,9,0,0,0,0,0,0.3046875,1,0.03,7.500020856809897e-06,0.0009600026696716668
5376,5376,21504,-0.0022531934082508087,6.09583854675293,1.901888132095337,0.0006484827026724815,0.0,0.0001,25,27,25,11,23,11,6,0,0,0,0,0,0.2109375,1,0.03,6.9732824776735924e-06,0.0008925801571422198
5504,5504,22016,-0.002761058509349823,30.09762191772461,1.9097360372543335,0.00019552651792764664,0.0,0.0001,17,22,26,11,23,14,15,0,0,0,0,0,0.203125,1,0.03,9.236650893029719e-06,0.001182291314307804
5632,5632,22528,0.0007706452161073685,42.70682907104492,1.9075555801391602,7.769744843244553e-05,0.0,0.0001,16,27,29,19,18,9,10,0,0,0,0,0,0.2265625,1,0.03,1.116912617504795e-05,0.0014296481504061376
5760,5760,23040,-0.0016464143991470337,9.499975204467773,1.9049474000930786,6.002001464366913e-05,0.0,0.0001,24,23,27,14,18,5,17,0,0,0,0,0,0.2109375,1,0.03,1.1412072581151733e-05,0.0014607452903874218
5888,5888,23552,-0.0005572289228439331,39.33565139770508,1.903337836265564,7.341708987951279e-05,0.0,0.0001,25,19,27,20,24,8,5,0,0,0,0,0,0.2109375,1,0.03,1.1278159867345039e-05,0.001443604463020165
6016,6016,24064,-0.001332111656665802,63.575679779052734,1.8926973342895508,0.00045896414667367935,0.0,0.0001,20,25,22,22,16,13,10,0,0,0,0,0,0.1953125,1,0.03,1.1132979508943208e-05,0.0014250213771447306
6144,6144,24576,-0.008654221892356873,46.65229415893555,1.8730770349502563,0.0009447243064641953,0.01171875,0.0001,22,26,30,15,21,7,7,0,0,0,0,0,0.234375,1,0.03,8.868614362000926e-06,0.0011351826383361185
6272,6272,25088,0.004356645047664642,27.70338249206543,1.8420813083648682,0.0022079451009631157,0.046875,0.0001,21,23,27,18,23,7,9,0,0,0,0,0,0.2109375,1,0.03,8.586666851329028e-06,0.0010990933569701156
6400,6400,25600,0.00958312302827835,22.485980987548828,1.7957526445388794,0.0024585993960499763,0.0234375,0.0001,19,21,30,24,21,9,4,0,0,0,0,0,0.234375,1,0.03,9.311619379559488e-06,0.0011918872805836145
6528,6528,26112,0.009753085672855377,36.98924255371094,1.7337110042572021,0.005444364622235298,0.05078125,0.0001,28,27,27,11,25,6,4,0,0,0,0,0,0.21875,1,0.03,1.0205869976687154e-05,0.0013063513570159557
